Indicator,Country,Gender,Year,Val
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,combined,2009,5.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,combined,2010,5.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,combined,2011,5.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,combined,2012,4.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,combined,2013,5.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,combined,2014,4.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,combined,2015,4.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,male,2008,192.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,male,2009,178.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,male,2010,170.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,male,2011,166.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,male,2012,156.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,male,2013,145.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,male,2014,132.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,male,2015,132.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,female,2008,100.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,female,2009,96.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,female,2010,90.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,female,2011,88.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,female,2012,86.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,female,2013,74.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,female,2014,69.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,female,2015,69.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,combined,2008,139.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,combined,2009,131.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,combined,2010,124.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,combined,2011,121.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,combined,2012,116.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,combined,2013,105.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,combined,2014,96.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Norway,combined,2015,96.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,male,2008,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,male,2009,18.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,male,2010,17.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,male,2011,18.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,male,2012,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,male,2013,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,male,2014,16.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,male,2015,16.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,female,2008,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,female,2009,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,female,2010,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,female,2011,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,female,2012,6.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,female,2013,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,female,2014,6.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,female,2015,8.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,combined,2008,11.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,combined,2009,12.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,combined,2010,12.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,combined,2011,12.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,combined,2012,11.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,combined,2013,11.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,combined,2014,11.0
(EU) Standardised death rate due to suicides per 100 000 persons,Norway,combined,2015,12.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,male,2008,61.4
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,male,2009,59.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,male,2010,56.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,male,2011,56.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,male,2012,54.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,male,2013,56.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,male,2014,59.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,male,2015,51.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,female,2008,30.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,female,2009,33.2
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,female,2010,33.2
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,female,2011,32.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,female,2012,32.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,female,2013,32.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,female,2014,31.6
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,female,2015,30.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,combined,2008,44.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,combined,2009,45.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,combined,2010,43.8
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,combined,2011,43.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,combined,2012,42.9
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,combined,2013,43.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,combined,2014,44.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Norway,combined,2015,39.6
(EU) Total fertility rate,Norway,combined,2008,1.96
(EU) Total fertility rate,Norway,combined,2009,1.98
(EU) Total fertility rate,Norway,combined,2010,1.95
(EU) Total fertility rate,Norway,combined,2011,1.88
(EU) Total fertility rate,Norway,combined,2012,1.85
(EU) Total fertility rate,Norway,combined,2013,1.78
(EU) Total fertility rate,Norway,combined,2014,1.75
(EU) Total fertility rate,Norway,combined,2015,1.72
(EU) Total fertility rate,Norway,combined,2016,1.71
(EU) Total hip replacements per 100 000 inhabitants,Norway,combined,2013,243.3
(EU) Total hip replacements per 100 000 inhabitants,Norway,combined,2014,242.7
(EU) Total hip replacements per 100 000 inhabitants,Norway,combined,2015,244.2
(EU) Total hip replacements per 100 000 inhabitants,Norway,combined,2016,252.3
(EU) Total hip replacements per 100 000 inhabitants,Norway,combined,2017,251.9
(EU) Total hip replacements per 100 000 inhabitants,Norway,combined,2018,259.6
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Norway,combined,2008,1460.3
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Norway,combined,2009,1654.8
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Norway,combined,2010,1676.1
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Norway,combined,2011,1705.0
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Norway,combined,2012,1718.1
(EU) Total social expenditure (PPP) per capita,Norway,combined,2008,10084.0
(EU) Total social expenditure (PPP) per capita,Norway,combined,2009,10346.0
(EU) Total social expenditure (PPP) per capita,Norway,combined,2010,10507.0
(EU) Total social expenditure (PPP) per capita,Norway,combined,2011,10860.0
(EU) Total social expenditure (PPP) per capita,Norway,combined,2012,11257.0
(EU) Total social expenditure (PPP) per capita,Norway,combined,2013,11646.0
(EU) Total social expenditure (PPP) per capita,Norway,combined,2014,12122.0
(EU) Total social expenditure (PPP) per capita,Norway,combined,2015,12732.0
"(EU) Total social protection expenditure as a share of GDP, %",Norway,combined,2008,21.8
"(EU) Total social protection expenditure as a share of GDP, %",Norway,combined,2009,25.5
"(EU) Total social protection expenditure as a share of GDP, %",Norway,combined,2010,25.2
"(EU) Total social protection expenditure as a share of GDP, %",Norway,combined,2011,24.8
"(EU) Total social protection expenditure as a share of GDP, %",Norway,combined,2012,24.5
"(EU) Total social protection expenditure as a share of GDP, %",Norway,combined,2013,25.1
"(EU) Total social protection expenditure as a share of GDP, %",Norway,combined,2014,26.0
"(EU) Total social protection expenditure as a share of GDP, %",Norway,combined,2015,27.9
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Norway,combined,2013,213.3
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Norway,combined,2014,216.4
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Norway,combined,2015,219.0
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Norway,combined,2016,222.1
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Norway,combined,2017,224.7
(EU) Unemployment rate,Norway,male,2008,2.7
(EU) Unemployment rate,Norway,male,2009,3.6
(EU) Unemployment rate,Norway,male,2010,4.0
(EU) Unemployment rate,Norway,male,2011,3.4
(EU) Unemployment rate,Norway,male,2012,3.6
(EU) Unemployment rate,Norway,male,2013,3.6
(EU) Unemployment rate,Norway,male,2014,3.7
(EU) Unemployment rate,Norway,male,2015,4.6
(EU) Unemployment rate,Norway,male,2016,5.4
(EU) Unemployment rate,Norway,male,2017,4.6
(EU) Unemployment rate,Norway,male,2018,4.0
(EU) Unemployment rate,Norway,male,2019,3.9
(EU) Unemployment rate,Norway,female,2008,2.4
(EU) Unemployment rate,Norway,female,2009,2.6
(EU) Unemployment rate,Norway,female,2010,2.9
(EU) Unemployment rate,Norway,female,2011,3.0
(EU) Unemployment rate,Norway,female,2012,2.6
(EU) Unemployment rate,Norway,female,2013,3.2
(EU) Unemployment rate,Norway,female,2014,3.2
(EU) Unemployment rate,Norway,female,2015,4.0
(EU) Unemployment rate,Norway,female,2016,3.9
(EU) Unemployment rate,Norway,female,2017,3.7
(EU) Unemployment rate,Norway,female,2018,3.5
(EU) Unemployment rate,Norway,female,2019,3.4
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2008,8.4
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2009,10.5
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2010,11.0
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2011,9.6
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2012,9.9
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2013,10.7
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2014,9.1
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2015,11.2
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2016,13.0
(EU) Unemployment rate of young people aged 16-24 years,Norway,male,2017,11.7
